gcc -c archivo.c -o archivo.o 
gcc -c ciudades.c -o ciudades.o 
gcc -c main.c -o main.o 
gcc -o main archivo.o ciudades.o main.o -lm
./main
9010,A,10475
10475,D,33296
33296,A,32309
32309,D,4153
4153,A,24536
24536,D,11324
11324,C,17773
17773,B,2775
2775,C,5779
5779,B,27790
27790,C,38320
38320,B,8670
8670,B,23256
23256,C,35187
35187,C,11806
11806,C,4444
4444,A,39017
39017,B,17898
17898,A,16946
16946,C,16405
16405,A,35682
35682,B,20549
20549,C,39083
39083,B,29678
29678,A,38766
38766,D,30029
30029,A,24087
24087,B,28271
28271,D,11452
11452,B,6686
6686,D,37275
37275,A,21920
21920,A,39958
39958,D,28581
28581,D,26068
26068,A,23497
23497,C,39892
39892,B,2849
2849,B,26263
26263,A,4687
4687,C,30612
30612,D,23576
23576,B,13342
13342,A,12872
12872,B,17759
17759,D,25127
25127,C,17300
17300,C,15769
15769,B,2034
2034,D,34217
34217,A,32144
32144,B,37671
37671,A,13771
13771,C,30219
30219,C,26348
26348,A,11531
11531,B,19246
19246,D,9439
9439,C,39755
39755,A,30663
30663,A,16093
16093,B,36024
36024,A,11588
11588,A,15043
15043,A,23604
23604,D,37604
37604,A,38488
38488,C,22488
22488,B,40414
40414,B,23753
23753,C,27133
27133,D,30024
30024,A,6333
6333,D,40424
40424,D,1908
1908,B,24036
24036,C,24553
24553,C,19152
19152,D,39747
39747,D,26539
26539,B,12365
12365,D,30888
30888,B,23203
23203,B,26075
26075,B,20106
20106,D,8553
8553,C,37543
37543,C,39282
39282,C,17929
17929,A,36290
36290,D,28943
28943,C,33951
33951,B,31307
31307,D,40462
40462,C,8004
8004,B,13915
13915,D,37058
37058,C,5486
5486,D,36320
36320,A,36462
36462,D,29154
29154,B,22455
22455,D,25485
25485,D,35411
35411,A,21870
21870,D,27318
27318,B,18450
18450,C,5428
5428,B,5478
5478,A,17189
17189,C,31870
31870,C,17756
17756,A,7076
7076,D,14077
14077,D,2834
2834,B,27085
27085,C,22539
22539,B,40265
40265,A,25360
25360,B,40368
40368,B,35548
35548,D,13304
13304,D,33313
33313,C,25853
25853,C,12757
12757,C,333
333,D,39663
39663,B,8810
8810,A,5720
5720,C,34977
34977,B,4268
4268,A,34755
34755,D,16437
16437,B,29634
29634,D,29160
29160,D,38188
38188,A,15953
15953,A,6617
6617,C,2633
2633,B,21320
21320,B,23687
23687,A,34371
34371,D,38953
38953,B,30647
30647,D,7458
7458,C,805
805,C,16733
16733,B,29866
29866,A,40925
40925,C,1097
1097,C,29225
29225,B,35467
35467,B,14272
14272,C,21536
21536,A,20322
20322,A,26897
26897,A,21744
21744,D,18978
18978,B,35574
35574,A,27333
27333,C,12951
12951,D,39708
39708,A,21083
21083,B,29245
29245,A,28341
28341,A,9243
9243,B,26425
26425,A,3304
3304,A,15720
15720,D,28919
28919,B,24472
24472,B,39251
39251,D,22285
22285,A,22417
22417,C,28895
28895,C,29595
29595,C,23077
23077,B,4638
4638,D,18460
18460,C,22994
22994,D,5587
5587,C,30
30,A,17456
17456,B,19698
19698,A,28054
28054,A,37610
37610,B,5597
5597,A,8803
8803,D,15595
15595,C,40988
40988,A,35958
35958,B,28378
28378,B,39687
39687,B,16046
16046,D,16622
16622,B,27028
27028,B,25119
25119,A,2050
2050,B,30164
30164,B,40660
40660,D,30781
30781,C,13638
13638,D,38902
38902,C,12071
12071,C,35867
35867,B,26797
26797,A,666
666,B,17947
17947,C,31256
31256,D,18937
18937,D,40746
40746,C,36659
36659,B,25438
25438,D,17210
17210,D,15363
15363,B,12492
12492,D,13815
13815,A,20772
20772,B,21104
21104,D,29211
29211,C,20751
20751,C,16057
16057,A,16590
16590,A,19430
19430,D,31900
31900,D,33007
33007,B,5461
5461,A,16021
16021,D,34859
34859,D,35405
35405,B,15673
15673,C,24637
24637,B,8054
8054,A,13569
13569,A,36497
36497,A,2917
2917,C,40142
40142,A,36957
36957,B,20646
20646,A,30395
30395,A,14901
14901,A,20384
20384,C,26048
26048,B,40108
40108,A,37369
37369,B,421
421,D,11613
11613,D,10195
10195,B,20963
20963,A,32484
32484,C,39167
39167,A,720
720,C,7550
7550,D,14766
14766,A,19916
19916,B,39204
39204,C,6770
6770,B,25147
25147,B,14234
14234,C,626
626,A,19548
19548,D,29667
29667,A,25016
25016,C,27366
27366,D,2247
2247,B,20508
20508,C,30046
30046,B,1382
1382,B,16459
16459,D,9699
9699,C,31518
31518,B,31110
31110,D,29828
29828,A,16567
16567,D,30210
30210,D,26191
26191,C,16745
16745,C,836
836,D,36132
36132,D,37445
